,gender,name,id,known_for_department,popularity
nm0528351,0,John Lynch,1015688,Writing,0.732
nm0790454,1,Norma Shearer,88867,Acting,1.11
nm0000022,2,Clark Gable,11492,Acting,4.042
nm0113284,2,Clarence Brown,84034,Directing,1.722
nm0820700,0,Adela Rogers St. Johns,149016,Writing,1.38
nm0306731,1,Becky Gardiner,1068004,Writing,1.4
nm0242957,0,Philip Dunning,1007749,Writing,0.6
nm0267913,1,Dorothy Farnum,1096777,Writing,1.38
nm0534404,2,Glen MacWilliams,105511,Camera,0.6
nm0579663,2,Adolphe Menjou,14563,Acting,1.764
nm0002285,2,Pat O’Brien,3155,Acting,1.943
nm0047720,0,Mary Brian,114767,Acting,1.4
nm0002143,2,Edward Everett Horton,2437,Acting,2.666
nm0587277,0,Lewis Milestone,2000,Directing,1.486
nm0372942,2,Ben Hecht,4341,Writing,2.106
nm0531269,2,Charles MacArthur,14824,Writing,1.4
nm0179993,0,Bartlett Cormack,94298,Writing,1.052
nm0496468,2,Charles Lederer,4358,Writing,1.476
nm0696679,1,Marie Prevost,98971,Acting,1.078
nm0318105,2,John Gilbert,98045,Acting,1.481
nm0938464,2,Louis Wolheim,2010,Acting,1.4
nm0404885,1,Leila Hyams,1507,Acting,1.77
nm0656105,1,Anita Page,98012,Acting,1.235
nm0663624,0,Ursula Parrott,989040,Writing,0.6
nm0695292,0,Leonard Praskins,19399,Writing,0
nm0005719,2,Merritt B. Gerstad,1498,Camera,0.732
nm0337013,0,William S. Gray,1167084,Editing,0.6
nm0251945,0,Mihály Eisemann,1306707,Sound,0.6
nm0190771,2,Gyula Csortos,125370,Acting,1.38
nm0434097,0,Gyula Kabos,124077,Acting,0.6
nm0361859,0,Mici Haraszti,125371,Acting,0.6
nm0272140,0,Éva Fenyvessy,125372,Acting,0.98
nm0782804,2,Steve Sekely,94069,Directing,1.4
nm0639130,2,Károly Nóti,30170,Writing,1.4
nm0951866,0,István Zágon,125241,Writing,0.6
nm0392096,2,William Holmes,107683,Editing,0.6
nm0001766,1,Barbara Stanwyck,14974,Acting,2.598
nm0719686,2,James Rennie,234845,Acting,1.38
nm0007220,2,Ricardo Cortez,83476,Acting,2.468
nm0602096,1,Natalie Moorhead,32436,Acting,1.4
nm0562845,2,Archie Mayo,81165,Directing,1.842
nm0280223,0,Edith Fitzgerald,1172616,Writing,0.982
nm0728307,2,Robert Riskin,19019,Writing,1.438
nm0857710,2,Harvey F. Thew,128355,Writing,1.435
nm0005764,2,Robert Kurrle,128358,Camera,1.38
nm0005904,2,Gregg Toland,8504,Camera,1.065
nm0528908,2,Ben Lyon,88581,Acting,1.052
nm0654530,2,Monroe Owsley,112366,Acting,1.4
nm0448661,1,Barbara Kent,121002,Acting,1.4
nm0564970,2,Leo McCarey,30008,Directing,1.388
nm0221865,2,Buddy G. DeSylva,14972,Production,0.652
nm0114095,2,Lew Brown,148862,Writing,1.4
nm0376575,0,Ray Henderson,1228078,Writing,1.4
nm0710888,2,Gerbert Rappaport,1091841,Directing,1.094
nm0334603,2,Alexander Granach,9842,Acting,2.386
nm0436922,2,Fritz Kampers,13896,Acting,1.334
nm0123972,2,Ernst Busch,11638,Acting,0.98
nm0920918,1,Elisabeth Wendt,590402,Acting,1.4
nm0001932,2,Richard Barthelmess,13789,Acting,0.764
nm0113902,2,Johnny Mack Brown,100253,Acting,0.708
nm0226189,2,William Dieterle,49214,Directing,1.736
nm0766850,2,John Monk Saunders,102503,Writing,1.4
nm0355284,2,Alexander Hall,99667,Directing,1.4
nm0637790,2,Elliott Nugent,89914,Directing,1.052
nm0710723,2,Samson Raphaelson,2432,Writing,1.562
nm0002001,2,Maurice Chevalier,112972,Acting,3.137
nm0001055,1,Claudette Colbert,30155,Acting,2.588
nm0394244,1,Miriam  Hopkins,2433,Acting,1.505
nm0749476,2,Charles Ruggles,2436,Acting,1.334
nm0523932,2,Ernst Lubitsch,2428,Directing,3.517
nm0414885,0,Leopold Jacobson,144424,Writing,0.6
nm0233791,0,Felix Dormann,144425,Writing,0.6
nm0618169,2,Hans Müller,1352622,Writing,1.4
nm0883328,2,Ernest Vajda,144423,Writing,1.56
nm0107539,1,Olga Breno,55336,Acting,0.6
nm0721169,0,Tatiana Rey,55337,Acting,0.6
nm0774231,0,Raul Schnoor,55338,Acting,0.6
nm0670083,0,Brutus Pedreira,55339,Acting,0.6
nm0670643,2,Mário Peixoto,55335,Acting,0.98
nm0105393,0,Edgar Brasil,1184399,Crew,0.6
nm0764009,1,Carmen Santos,937205,Acting,0.6
nm0000048,2,Peter Lorre,2094,Acting,2.128
nm0927145,2,Ellen Widmann,12322,Acting,0.656
nm0484737,1,Inge Landgut,12323,Acting,1.019
nm0921532,2,Otto Wernicke,12324,Acting,2.656
nm0000485,2,Fritz Lang,68,Directing,3.1
nm0902376,1,Thea von Harbou,157,Writing,2.348
nm0005922,2,Fritz Arno Wagner,9836,Camera,1.052
nm0266239,2,Paul Falkenberg,11578,Editing,0.6
nm0715969,2,William Rees,1142345,Camera,0.6
nm0199841,1,Bebe Daniels,30000,Acting,1.043
nm0226502,2,Dudley Digges,100243,Acting,2.268
nm0580916,1,Una Merkel,13963,Acting,1.702
nm0298494,1,Maude Fulton,109903,Writing,0.6
nm0391763,0,Brown Holmes,128782,Writing,1.646
nm0399203,2,Lucien Hubbard,34752,Production,0.98
nm0706926,2,Raimu,239231,Acting,0.98
nm0294382,2,Pierre Fresnay,11546,Acting,2.924
nm0153457,2,Fernand Charpin,94939,Acting,1.4
nm0745600,1,Alida Rouffe,584135,Acting,0.84
nm0466099,2,Alexander Korda,2490,Production,1.025
nm0656528,2,Marcel Pagnol,38393,Writing,1.837
nm0437419,2,Robert Kane,109709,Production,0.6
nm0343040,0,Francis Gromon,121230,Sound,0.6
nm0005821,2,Theodore J. Pahle,106015,Crew,0.6
nm0006330,2,Georges Van Parys,12262,Sound,0.6
nm0030246,1,Annabella,82789,Acting,1.473
nm0499151,2,René Lefèvre,112754,Acting,2.744
nm0021342,2,Jean-Louis Allibert,1115567,Acting,0.6
nm0647378,0,Paul Ollivier,117805,Acting,0.996
nm0163229,2,René Clair,33166,Directing,1.428
nm0077278,0,Georges Berr,1004635,Writing,0.6
nm0347058,0,Marcel Guillemaud,1177714,Writing,0.6
nm0076144,0,Armand Bernard,239223,Acting,1.394
nm0664163,0,Philippe Parès,1343475,Sound,0.6
nm0907900,2,Joseph Walker,17761,Camera,0.732
nm0362742,2,Sam Hardy,3246,Acting,1.708
nm0580240,1,Beryl Mercer,2018,Acting,0
nm0001008,2,Frank Capra,2662,Directing,2.425
nm0842485,2,Jo Swerling,82172,Writing,1.712
nm0576046,2,John Meehan,1999629,Writing,1.048
