,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac,bechdel
2708,tt0052644,Le Bossu,1959.0,105.0,"Action,Adventure",6.9,1099.0,1.0,0.0,0.0,3.0,3.0,0.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2709,tt0052646,The Brain That Wouldn't Die,1962.0,82.0,"Horror,Sci-Fi",4.4,5954.0,2.0,0.0,0.0,2.0,0.0,0.0,0.5,0.0,0.0,4.0,0.5,0.5,passed
2710,tt0052654,The Bridge,1959.0,103.0,"Drama,War",8.0,6753.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0,No info
2711,tt0052655,A Bucket of Blood,1959.0,66.0,"Comedy,Crime,Horror",6.7,5566.0,1.0,0.0,0.0,3.0,2.0,3.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,passed
2712,tt0052667,"Caltiki, the Immortal Monster",1959.0,77.0,"Adventure,Horror,Sci-Fi",6.0,1113.0,1.0,0.0,0.0,3.0,2.0,0.0,0.25,0.0,0.0,6.0,0.16666666666666666,0.8333333333333334,No info
2713,tt0052676,Carry on Teacher,1959.0,86.0,Comedy,6.3,1949.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,0.0,8.0,0.0,1.0,No info
2714,tt0052680,Cash McCall,1960.0,102.0,"Drama,Romance",6.4,1045.0,2.0,1.0,0.0,2.0,2.0,1.0,0.5,0.3333333333333333,0.0,8.0,0.375,0.625,No info
2715,tt0052698,Classe Tous Risques,1960.0,110.0,"Crime,Drama,Romance",7.5,2904.0,1.0,0.0,0.0,3.0,2.0,1.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2716,tt0052700,Compulsion,1959.0,103.0,"Biography,Crime,Drama",7.4,5524.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2717,tt0052708,The Cousins,1959.0,112.0,Drama,7.3,2402.0,1.0,0.0,0.0,3.0,1.0,3.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2718,tt0052713,The Crimson Kimono,1959.0,82.0,"Crime,Drama,Mystery",6.9,1947.0,2.0,0.0,0.0,2.0,1.0,2.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143,No info
2719,tt0052722,Darby O'Gill and the Little People,1959.0,93.0,"Adventure,Family,Fantasy",7.2,6666.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2720,tt0052724,Day of the Outlaw,1959.0,92.0,Western,7.3,2813.0,1.0,0.0,0.0,3.0,1.0,2.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2721,tt0052733,Two Men in Manhattan,1959.0,84.0,"Crime,Drama,Thriller",6.7,1491.0,3.0,0.0,0.0,1.0,1.0,2.0,0.75,0.0,0.0,7.0,0.42857142857142855,0.5714285714285714,No info
2722,tt0052735,The Devil's Disciple,1959.0,83.0,"Comedy,History,Romance",7.2,2021.0,1.0,0.0,0.0,3.0,6.0,0.0,0.25,0.0,0.0,10.0,0.1,0.9,No info
2723,tt0052738,The Diary of Anne Frank,1959.0,180.0,"Biography,Drama,Family",7.4,11572.0,2.0,1.0,0.0,2.0,2.0,2.0,0.5,0.3333333333333333,0.0,9.0,0.3333333333333333,0.6666666666666666,No info
