tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0180782,Ta kitrina gantia,1960.0,84.0,Comedy,7.8,1142.0,2.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0181151,What Planet Are You From?,2000.0,105.0,"Comedy,Sci-Fi",5.6,8905.0,1.0,0.0,0.0,3.0,5.0,1.0,0.25,0.0,0.0,10.0,0.1,0.9
tt0181182,Zikina dinastija,1985.0,95.0,Comedy,7.6,2043.0,1.0,0.0,0.0,3.0,0.0,1.0,0.25,0.0,0.0,5.0,0.2,0.8
tt0181288,American Movie,1999.0,107.0,"Comedy,Documentary",7.9,16301.0,1.0,1.0,0.0,3.0,1.0,0.0,0.25,0.5,0.0,6.0,0.3333333333333333,0.6666666666666666
tt0181316,Blue Streak,1999.0,93.0,"Action,Comedy,Crime",6.3,72063.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0
tt0181530,East/West,1999.0,121.0,"Adventure,Drama,History",7.4,4481.0,2.0,0.0,0.0,2.0,4.0,2.0,0.5,0.0,0.0,10.0,0.2,0.8
tt0181536,Finding Forrester,2000.0,136.0,Drama,7.3,80665.0,1.0,1.0,0.0,3.0,3.0,1.0,0.25,0.25,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0181592,The Policeman of the 16th Precinct,1959.0,88.0,Comedy,8.0,1511.0,2.0,0.0,0.0,2.0,2.0,1.0,0.5,0.0,0.0,7.0,0.2857142857142857,0.7142857142857143
tt0181600,Yparhei Kai Filotimo,1965.0,89.0,Comedy,8.1,1167.0,1.0,0.0,0.0,3.0,2.0,2.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0181627,Kirikou and the Sorceress,1998.0,71.0,"Adventure,Animation,Family",7.5,8225.0,2.0,0.0,0.0,2.0,1.0,0.0,0.5,0.0,0.0,5.0,0.4,0.6
