tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0359950,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,2013.0,114.0,"Comedy,Drama,Fantasy",nm0001774,"nm0175726,nm0862122",7.3,284526.0
tt0360009,Spartan,Spartan,2004.0,106.0,"Action,Crime,Drama",nm0000519,nm0000519,6.5,28727.0
tt0360130,Undertow,Undertow,2004.0,108.0,"Drama,Thriller",nm0337773,"nm1600857,nm1345430,nm0337773",6.6,8213.0
tt0360139,Chasing Liberty,Chasing Liberty,2004.0,101.0,"Comedy,Romance",nm0128225,"nm0346938,nm1447604",6.1,35252.0
tt0360201,Wimbledon,Wimbledon,2004.0,98.0,"Comedy,Romance,Sport",nm0518644,"nm0111845,nm0280814,nm0505662",6.3,58124.0
tt0360323,10th & Wolf,10th & Wolf,2006.0,107.0,"Crime,Drama,Thriller",nm0604263,"nm0604263,nm0824481",6.3,5996.0
tt0360486,Constantine,Constantine,2005.0,121.0,"Action,Fantasy,Horror",nm1349376,"nm1393443,nm1212017,nm0110778,nm0135141",7.0,292756.0
tt0360556,Fahrenheit 451,Fahrenheit 451,2018.0,100.0,"Drama,Sci-Fi,Thriller",nm1023919,"nm0001969,nm1023919,nm0618881",4.9,16143.0
tt0360717,King Kong,King Kong,2005.0,187.0,"Action,Adventure,Drama",nm0001392,"nm0909638,nm0101991,nm0001392,nm0178260,nm0908624",7.2,379419.0
tt0360916,The Real Cancun,The Real Cancun,2003.0,96.0,Documentary,nm0219974,nm0129644,2.8,3703.0
tt0361089,Valiant,Valiant,2005.0,76.0,"Adventure,Animation,Comedy",nm1369705,"nm1498344,nm0441750,nm1276664,nm0076791",5.5,20167.0
tt0361127,The Woodsman,The Woodsman,2004.0,87.0,Drama,nm0975026,"nm1350319,nm0975026",7.2,31184.0
tt0361309,We Don't Live Here Anymore,We Don't Live Here Anymore,2004.0,101.0,"Drama,Romance",nm0192845,"nm0239653,nm0343419",6.3,9026.0
tt0361411,Bride & Prejudice,Bride & Prejudice,2004.0,122.0,"Comedy,Drama,Musical",nm0149446,"nm0000807,nm0074488,nm0149446",6.1,19458.0
tt0361467,Confessions of a Teenage Drama Queen,Confessions of a Teenage Drama Queen,2004.0,89.0,"Comedy,Family,Music",nm0837406,"nm1358381,nm0661275",4.6,26677.0
tt0361500,Delgo,Delgo,2008.0,94.0,"Adventure,Animation,Comedy","nm1354216,nm1355835","nm1354188,nm1354882,nm1358368,nm1354216,nm1354185,nm1355835",4.3,2779.0
tt0361596,Fahrenheit 9/11,Fahrenheit 9/11,2004.0,122.0,"Documentary,Drama,War",nm0601619,nm0601619,7.5,124459.0
tt0361620,First Daughter,First Daughter,2004.0,106.0,"Comedy,Drama,Romance",nm0001845,"nm0070566,nm0005278,nm1009988",5.0,20443.0
tt0361668,Gozu,Gokudô kyôfu dai-gekijô: Gozu,2003.0,129.0,"Crime,Drama,Horror",nm0586281,nm0766499,7.0,10788.0
tt0361693,Happy Endings,Happy Endings,2005.0,128.0,"Comedy,Drama,Music",nm0740400,nm0740400,6.3,8798.0
tt0361696,Raise Your Voice,Raise Your Voice,2004.0,107.0,"Family,Music,Musical",nm0573732,"nm1112597,nm1368026",5.9,26201.0
tt0361715,Duma,Duma,2005.0,100.0,"Adventure,Drama,Family",nm0050597,"nm1571936,nm1571937,nm0282378,nm0418321,nm1059505",7.2,7558.0
tt0361748,Inglourious Basterds,Inglourious Basterds,2009.0,153.0,"Adventure,Drama,War",nm0000233,nm0000233,8.3,1200820.0
tt0361841,Little Black Book,Little Black Book,2004.0,107.0,"Comedy,Drama,Romance",nm0403541,"nm0141812,nm0068183",5.3,16989.0
tt0361862,The Machinist,The Machinist,2004.0,101.0,"Drama,Thriller",nm0026442,nm0466925,7.7,344451.0
tt0361925,Welcome to Mooseport,Welcome to Mooseport,2004.0,110.0,"Comedy,Romance",nm0677953,"nm0724514,nm0776114",5.2,11927.0
tt0362004,Palindromes,Palindromes,2004.0,100.0,"Comedy,Drama",nm0001754,nm0001754,6.7,11812.0
tt0362120,Scary Movie 4,Scary Movie 4,2006.0,83.0,"Comedy,Horror",nm0001878,"nm0563301,nm0000720,nm0698493,nm0915465,nm0005541,nm0424688,nm0064556,nm0294997,nm0783536",5.1,110497.0
tt0362165,Son of the Mask,Son of the Mask,2005.0,94.0,"Comedy,Family,Fantasy",nm0349183,nm1141749,2.2,50820.0
tt0362225,Tell No One,Ne le dis à personne,2006.0,131.0,"Crime,Drama,Mystery",nm0133899,"nm0133899,nm1454192,nm1162222",7.5,48525.0
tt0362227,The Terminal,The Terminal,2004.0,128.0,"Comedy,Drama,Romance",nm0000229,"nm0629272,nm0315065,nm0622288",7.4,387180.0
tt0362269,Kinsey,Kinsey,2004.0,118.0,"Biography,Drama,Romance",nm0174374,nm0174374,7.0,46612.0
tt0362270,The Life Aquatic with Steve Zissou,The Life Aquatic with Steve Zissou,2004.0,119.0,"Action,Adventure,Comedy",nm0027572,"nm0027572,nm0000876",7.3,172861.0
